r,ion_rate
1.105066129e+00,8.057484822e-03
1.105786042e+00,8.238943159e-03
1.106608799e+00,8.424164042e-03
1.107328712e+00,8.613212745e-03
1.108151470e+00,8.806033560e-03
1.108871382e+00,9.003128111e-03
1.109694140e+00,9.203996618e-03
1.110414053e+00,9.409437306e-03
1.111236810e+00,9.619395991e-03
1.112059568e+00,9.833552435e-03
1.112779480e+00,1.005281347e-02
1.113602238e+00,1.027662217e-02
1.114424995e+00,1.050569670e-02
1.115247753e+00,1.073998755e-02
1.116070510e+00,1.097915870e-02
1.116893268e+00,1.122400382e-02
1.117716025e+00,1.147476803e-02
1.118538783e+00,1.173146542e-02
1.119361540e+00,1.199370822e-02
1.120184298e+00,1.226206056e-02
1.121007055e+00,1.253654046e-02
1.121932657e+00,1.281810535e-02
1.122755415e+00,1.310571751e-02
1.123578172e+00,1.339959352e-02
1.124503774e+00,1.370052337e-02
1.125326532e+00,1.400847807e-02
1.126252134e+00,1.432306992e-02
1.127074891e+00,1.464454762e-02
1.128000494e+00,1.497299023e-02
1.128926096e+00,1.530851017e-02
1.129748853e+00,1.565083331e-02
1.130674455e+00,1.599945782e-02
1.131600058e+00,1.635568627e-02
1.132525660e+00,1.671757349e-02
1.133451262e+00,1.708686755e-02
1.134376864e+00,1.746202989e-02
1.135302466e+00,1.784325669e-02
1.136228068e+00,1.823102902e-02
1.137153671e+00,1.862445898e-02
1.138079273e+00,1.902371873e-02
1.139107720e+00,1.942779213e-02
1.140033322e+00,1.983726445e-02
1.140958924e+00,2.025239897e-02
1.141987371e+00,2.067213199e-02
1.142912973e+00,2.109622313e-02
1.143941420e+00,2.152394946e-02
1.144969867e+00,2.195708248e-02
1.145895469e+00,2.239287499e-02
1.146923916e+00,2.283429430e-02
1.147952362e+00,2.327732357e-02
1.148980809e+00,2.372509390e-02
1.150009256e+00,2.417624719e-02
1.151037703e+00,2.463129442e-02
1.152066150e+00,2.508822200e-02
1.153094597e+00,2.554772461e-02
1.154123043e+00,2.601177108e-02
1.155254335e+00,2.647919256e-02
1.156282782e+00,2.694845305e-02
1.157311229e+00,2.742272701e-02
1.158442520e+00,2.789878623e-02
1.159470967e+00,2.837686839e-02
1.160602258e+00,2.885949287e-02
1.161630705e+00,2.934542683e-02
1.162761997e+00,2.983629175e-02
1.163893288e+00,3.032767980e-02
1.165024580e+00,3.082619487e-02
1.166155871e+00,3.132535351e-02
1.167287163e+00,3.183026450e-02
1.168418454e+00,3.233865189e-02
1.169549746e+00,3.285117103e-02
1.170681037e+00,3.336835720e-02
1.171812329e+00,3.389177197e-02
1.173046465e+00,3.441803256e-02
1.174177757e+00,3.494861621e-02
1.175411893e+00,3.548407482e-02
1.176543184e+00,3.602620644e-02
1.177777321e+00,3.657308811e-02
1.178908612e+00,3.712529534e-02
1.180142748e+00,3.768410159e-02
1.181376885e+00,3.824734230e-02
1.182611021e+00,3.881558339e-02
1.183845157e+00,3.939102459e-02
1.185079293e+00,3.997450071e-02
1.186313429e+00,4.056276911e-02
1.187547566e+00,4.115481573e-02
1.188884547e+00,4.175906021e-02
1.190118683e+00,4.236335034e-02
1.191352819e+00,4.297997769e-02
1.192689800e+00,4.360078680e-02
1.193923936e+00,4.422945327e-02
1.195260917e+00,4.486687849e-02
1.196597898e+00,4.551223867e-02
1.197934879e+00,4.616210161e-02
1.199271860e+00,4.681968918e-02
1.200505996e+00,4.748591421e-02
1.201945821e+00,4.816079625e-02
1.203282802e+00,4.884336782e-02
1.204619783e+00,4.953307899e-02
1.205956764e+00,5.023230933e-02
1.207396590e+00,5.093855152e-02
1.208733571e+00,5.165323594e-02
1.210173396e+00,5.237630952e-02
1.211510377e+00,5.310932942e-02
1.212950203e+00,5.384959808e-02
1.214390028e+00,5.459973503e-02
1.215829854e+00,5.535800295e-02
1.217269679e+00,5.612558458e-02
1.218709505e+00,5.690177026e-02
1.220149330e+00,5.768759070e-02
1.221589156e+00,5.848253307e-02
1.223028982e+00,5.928651615e-02
1.224571652e+00,6.009944120e-02
1.226011477e+00,6.092240012e-02
1.227554148e+00,6.175489106e-02
1.229096818e+00,6.259724302e-02
1.230536644e+00,6.344892639e-02
1.232079314e+00,6.431110159e-02
1.233621984e+00,6.518237723e-02
1.235164654e+00,6.606391067e-02
1.236707325e+00,6.695519165e-02
1.238352840e+00,6.785646256e-02
1.239895510e+00,6.876820703e-02
1.241438180e+00,6.968963920e-02
1.243083695e+00,7.062127332e-02
1.244729210e+00,7.156331238e-02
1.246271880e+00,7.251557017e-02
1.247917395e+00,7.347752227e-02
1.249562910e+00,7.445322642e-02
1.251208425e+00,7.543554560e-02
1.252853940e+00,7.643003806e-02
1.254499455e+00,7.743470558e-02
1.256247815e+00,7.844958192e-02
1.257893329e+00,7.947722031e-02
1.259641689e+00,8.051463449e-02
1.261287204e+00,8.156297980e-02
1.263035564e+00,8.262028072e-02
1.264783923e+00,8.368951305e-02
1.266532283e+00,8.476884927e-02
1.268280643e+00,8.585962226e-02
1.270029002e+00,8.696158183e-02
1.271777362e+00,8.807264565e-02
1.273525721e+00,8.919603204e-02
1.275376926e+00,9.033154069e-02
1.277125285e+00,9.147697512e-02
1.278976490e+00,9.263189150e-02
